presence,spp.local,prim.host,spp.scientific,spp.common
34,acma,0,Acer macrophyllum,Big leaf maple
8,qudo,0,Quercus douglasii,Blue oak
191,umca,1,Umbellularia californica,CA bay laurel
97,quke,1,Quercus kelloggii,CA black oak
8,ruur,0,Rubus ursinus,CA blackberry
37,aeca,0,Aesculus californica,CA buckeye
17,coco,0,Corylus cornuta,CA hazelnut
130,lohi,0,Lonicera hispidula,CA honeysuckle
29,quch,1,Quercus chrysolepis,Canyon live oak
5,adfa,0,Adenostoma fasciculatum,Chamise
143,quag,1,Quercus agrifolia,Coast live oak
5,sese,0,Sequoia sempervirens,Coast redwood
13,rhca,0,Rhamnus californica,Coffeeberry
16,bapi,0,Baccharis pilularis,Coyote brush
36,symo,0,Symphoricarpos mollis,Creeping snowberry
93,psme,0,Pseudotsuga menziesii,Douglas fir
40,rogy,0,Rosa gymnocarpa,Dwarf rose
5,prunus,0,Prunus species,Golden plum
72,arme,0,Arbutus menziesii,Madrone
21,arcto,0,Arctostaphylos species,Manzanita
8,hodi,0,Holodiscus discolor,Ocean spray
89,quga,0,Quercus garryana,Oregon oak
158,todi,0,Toxicodendron diversilobum,Poison oak
20,miau,0,Mimulus aurantiacus,Sticky monkey-flower
10,lide,1,Notholithocarpus densiflorus,Tanoak
82,hear,0,Heteromeles arbutifolia,Toyon
8,qulo,0,Quercus lobata,Valley oak
8,arma,0,Arctostaphylos manzanita,Whiteleaf manzanita
35,other,0,other,Other
